Ambiente	CE	DAP	RM_0-5	RM_5=10	HR	P	MO	Ph	Ca	Mg	Na	K	N	ARA	RESP
NG	0.55	1.25	4.5	8	0.33	0	5.66	8.46	9.35	1.3	1.35	1.4	0.28	0.25	0.1
NG	0.4	1.23	2.5	8	0.35	0	6.85	7.29	8.55	1.4	1.4	1.66	0.37	0.13	0.15
NG	0.28	1.33	1.5	6	0.29	8.65	2.15	7.85	6	1.9	2	1.4	0.17	0.18	0.03
NG	0.23	1.33	1	1	0.28	5.73	7.33	6.67	5.15	2.05	1.9	1.93	0.42	0.23	0.05
NG	0.21	1.12	1	1	0.47	16.87	4.8	7.17	5.65	1.6	1.9	3.1	0.19	0.22	0.08
NG	0.27	1.13	13	11	0.38	7.75	5.06	6.93	5.95	2.5	0.96	1.66	0.27	0.15	0
NG	0.24	1.16	7.5	14	0.35	2.18	4.3	7.09	7.7	1.18	0.95	1.9	0.18	0.19	0.06
NG	0.15	1.3	4	6.5	0.31	1.55	3.54	7.03	6.1	1.6	1.1	2	0.3	0.15	0.02
NG	0.32	1.24	5.5	9.5	0.3	4.55	5.69	8.29	8.5	1.33	0.98	2.03	0.14	0.17	0.1
NG	0.24	1.33	1.5	6	0.26	4.41	4.05	7.56	8.18	1.39	2.1	1.15	0.17	0.16	0.02
NG	0.23	1.15	3.5	8.5	0.31	4.75	4.17	8.14	7.8	1.39	1.9	1.7	0.17	0.19	0.04
NG	0.49	0.96	23	30	0.62	4.48	2.72	6.59	5	2.15	1.65	1.6	0.21	0.15	0.03
NG	0.34	1.29	16	15.5	0.12	0.3	2.51	7.03	5.65	2.03	1.66	2.45	0.23	0.17	0.02
NG	0.36	1.06	15.5	12.5	0.23	4.75	2.3	7.15	5.1	2.05	1.8	2.9	0.17	0.13	0.03
NG	0.42	1.1	12	22	0.17	3.64	3.77	6.34	6.55	2.15	0.89	1.89	0.24	0.16	0.02
NG	0.42	0.81	23	0	0.11	3.92	2.72	6.67	5.48	1.33	0.98	2.3	0.2	0.15	0.02
NG	0.54	1.4	8	10	0.26	4.94	2.93	6.57	6.78	1.7	1.6	2.1	0.22	0.17	0.03
NG	0.31	1.12	23	0	0.12	9.35	6.28	6.07	7.1	1.45	1.8	1.23	0.27	0.14	0.02
NG	0.29	1.22	17	23.5	0.12	7.63	4.61	6.55	8.45	1.03	1.43	1.98	0.26	0.15	0.03
NG	0.29	1.34	15	20.5	0.14	9.3	6.07	6.38	8.65	1	1.65	1.98	0.42	0.11	0.03
CG	1.13	0.99	0	1.5	0.26	9.78	2.73	5.57	5.1	1.6	0.48	1.02	0.37	0.29	0.07
CG	1.28	1.09	0	0	0.29	26.77	2.34	6.34	4.65	2.05	0.43	1.5	0.28	0.34	0.11
CG	1.04	1.17	0	0	0.26	6.49	2.61	5.39	2.8	2.1	0.5	1	0.29	0.34	0.11
CG	1.17	0.97	1.5	4	0.25	21.47	3.11	5.05	5.5	1.83	0.78	1.3	0.31	0.45	0.08
CG	1.2	1.11	1.25	3	0.28	17.18	2.2	5.8	5.05	1.66	0.76	1	0.4	0.34	0.11
CG	1.08	0.97	0	1.25	0.28	20.88	2.24	4.71	5.3	1.55	0.85	1.6	0.23	0.34	0.11
CG	1.12	1.05	0.5	2.5	0.24	17.18	2.56	5.18	6	2	0.74	1.62	0.43	0.38	0.05
CG	1.08	1.04	0.5	1	0.29	8.68	2.15	5.07	5.15	1.85	0.74	1.8	0.33	0.1	0.06
CG	1.28	1	0	0.5	0.27	12.11	2.25	5.34	5.3	1.78	0.87	1.89	0.33	0.34	0.11
CG	0.76	1.12	0	4.5	0.21	12.53	2.61	6.45	5.35	1.55	0.49	1.2	0.36	0.06	0.03
CG	0.61	1.01	5.5	12.5	0.14	13.65	2.31	6.37	5.28	1.61	0.52	1.24	0.32	0.02	0.04
CG	0.94	1.05	4.5	9	0.19	12.91	2.4	6.47	5.5	1.82	0.47	1.32	0.36	0.05	0.1
CG	1.06	1.16	7	17.5	0.23	9.23	2.51	6.65	5.45	1.63	0.62	1.1	0.41	0.07	0.06
CG	1.08	1.06	3	20	0.13	10.93	2.46	6.41	5.29	1.99	0.78	1.3	0.34	0.07	0.1
CG	1.2	1.12	3	11.5	0.27	12.1	2.91	6.52	4.65	1.57	0.9	1.45	0.35	0.06	0.11
CG	1.04	1.14	1	4	0.24	9.7	2.37	5.81	5.5	2	0.95	1	0.36	0.07	0.04
CG	0.82	0.94	1	1.5	0.25	8.29	2.39	6.07	5.1	1.85	0.93	1.23	0.46	0.04	0.22
CG	0.9	1.08	0	0	0.25	10.95	2.37	5.85	4.85	1.65	0.81	1.48	0.44	0.05	0.04
CG	0.68	1.05	0	0	0.23	12.82	6.08	6.1	5.09	1.86	0.48	1.5	0.34	0.1	0.09
CG	0.52	1.04	0	0	0.25	5.43	5.51	6.76	5.15	1.98	0.56	1.47	0.3	0.12	0.06
CG	0.92	1.3	0.5	0.5	0.24	5.71	5.23	7.08	4.7	2.02	0.53	1.34	0.27	0.12	0.06
CG	0.44	1.02	0.5	0	0.32	8.26	5.63	5.19	5.22	1.74	0.86	1.21	0.34	0.08	0.07
CG	0.37	1.19	0.5	0.5	0.24	6.16	3.86	5.44	5.25	1.9	0.78	1.19	0.25	0.08	0.01
CG	0.54	1.07	0	0.5	0.29	8.15	4.38	5.67	5.14	1.73	0.78	1.29	0.28	0.12	0.1
CG	0.49	1.06	0	0	0.3	4.37	6.22	6.09	5.63	2.04	0.84	1.34	0.34	0.21	0.07
CG	0.53	1.09	0.5	0.5	0.21	3.53	5.97	6.34	5.11	1.97	0.79	1.62	0.25	0.12	0.05
CG	0.57	1.25	0	0	0.36	16.49	3.99	8.96	5.51	1.97	0.81	1.63	0.22	0.12	0.09
CG	1.02	1.12	0.25	1.75	0.37	7.2	2.09	6.83	7.05	1.06	0.57	0.66	0.24	0.06	0.04
CG	0.86	0.99	3	6	0.35	13.08	4.14	6.17	6.45	1.02	0.69	0.73	0.3	0.07	0.08
CG	0.94	1.1	1.5	3	0.41	10.85	3.11	6.29	6.61	0.89	0.52	0.76	0.24	0.05	0.18
CG	0.97	1	2	6.5	0.43	51.22	3.86	6.3	4.27	1.06	0.03	1.44	0.39	0.07	0.01
CG	1.66	1.25	0.5	0.75	0.32	14.83	1.63	7.32	4.34	0.96	1.21	1.1	0.19	0.07	0.01
CG	0.79	0.9	2	4	0.45	40.01	3.3	6.28	2.83	1.02	0.03	1.8	0.33	0.05	0.03
CG	0.72	1.01	3.75	4.25	0.26	10.44	3.67	5.97	4	0.86	0.09	0.87	0.3	0.06	0.01
CG	0.97	1.14	6	5	0.28	14.29	3.77	6.38	3.84	0.56	0.13	0.75	0.29	0.06	0.05
CG	1.03	1.05	6	12.25	0.33	16.79	4.42	6.02	4.36	0.55	0.05	0.76	0.37	0.04	0.04
CG	1.66	0.97	7	7.25	0.35	75.78	5.82	7.93	4.45	1.85	0.82	1	0.49	0.24	0.05
CG	0.85	1	6	14.5	0.37	18.03	5.31	6.01	4.6	1.45	0.75	0.76	0.44	0.28	0.03
CG	0.68	1.22	9	10.5	0.32	10.19	4.8	6.54	4.56	2.05	0.64	0.65	0.3	0.28	0.08
CG	0.91	1.22	8	15.5	0.27	16.17	4.05	6.42	5.6	1.42	0.94	1.1	0.28	0.28	0.01
CG	1.22	1.07	7	10	0.21	20.92	3.79	7.17	4.58	1.45	0.83	1.4	0.27	0.28	0.09
CG	0.42	1.13	10.5	17	0.33	24.53	4.05	6.55	4.92	1.51	0.64	0.33	0.37	0.28	0.01
CG	0.45	1.16	1.75	5.5	0.35	8.95	5.82	6.13	5	0.85	1.23	1.08	0.38	0.28	0.05
CG	0.42	1.08	1.5	4.5	0.36	2.56	4.55	6.83	5.25	0.65	0.87	1.3	0.32	0.28	0.07
CG	0.72	1.07	1.2	4.5	0.44	12.67	6.57	6.32	5	0.6	0.96	1.12	0.42	0.28	0.07
CG	0.37	1.38	0	2.75	0.37	4.8	3.87	6.67	5.13	2.05	0.79	1.4	0.24	0.1	0.03
CG	0.3	1.27	0	0.75	0.38	7.25	4.76	6.28	5	2	0.86	0.98	0.41	0.18	0.1
CG	0.26	1.22	0	1	0.39	0.92	5.96	6.1	5.05	2.1	1.4	0.7	0.34	0.14	0.1
CG	0.27	1.18	0	0.75	0.45	50.11	7.44	5.91	4.79	1.6	0.7	1.1	0.39	0.15	0.05
CG	0.3	1.29	0	0.5	0.42	30.52	4.47	5.94	5.08	1	0.78	1.3	0.27	0.15	0.1
CG	0.31	1.06	0	1	0.42	3.17	5.96	5.51	5.1	1.6	0.91	0.78	0.29	0.13	0.07
CG	0.31	1.19	1.25	3.25	0.47	1.94	8.64	5.88	4.08	1.05	0.75	0.97	0.47	0.16	0.06
CG	0.34	1.06	0	1.25	0.79	5.21	6.25	5.99	4.68	0.8	0.78	1.77	0.41	0.13	0.1
CG	0.27	1.04	0	0	0.43	3.37	6.85	6.05	4.55	0.7	1.02	1.4	0.47	0.12	0.28
CG	0.14	1.16	4.5	3.5	0.27	4.2	4.3	5.9	4.88	1	0.8	0.93	0.2	0.14	0.03
CG	0.29	1.17	2.5	4	0.24	4.34	3.29	7.29	5.5	1	0.9	1	0.21	0.14	0.06
CG	0.15	1.01	0.5	3.5	0.38	3.36	5.69	5.53	6.05	0.53	0.66	0.98	0.32	0.16	0.1
CG	0.16	1.19	6.5	3.5	0.39	4.41	5.44	4.92	4.85	0.85	0.8	1.56	0.29	0.12	0.06
CG	0.24	1.1	1.5	3.5	0.3	7.82	3.54	7.77	5.45	1.05	1.3	1	0.25	0.14	0.06
CG	0.1	1.2	3.5	4	0.33	5.8	4.05	5.22	5.5	1.15	1.05	0.9	0.19	0.17	0.06
CG	0.14	0.99	0	0	0.37	5.52	5.56	5.24	5	0.83	1.2	0.96	0.43	0.18	0.05
CG	0.15	1.07	1	3.5	0.37	4.34	6.19	6.36	4.15	0.73	0.95	1	0.37	0.16	0.02
CG	0.17	1.13	0	6	0.35	3.36	5.94	5.5	4.9	1	1.07	1.3	0.33	0.18	0.06
